"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025"
"S033",0.318424852671428,0.00550286851656715,0,0,0.252780704835499,0,0,0,0.100066346641689,0.0922998868204348,0.0834406587831245,0,0,0,0.0521796823166686,0.037583421145065,0,0.00889825547359794,0.0108105998516957,0,0.0115911485774499,0.0091324200913242,0,0,0
"S034",0.00569533559224281,0.891716530891789,0,0,0.00966044265013337,0,0,0,0,0,0,0,0,0.00670463557061495,0,0,0,0.0330185278638887,0.0291255136615961,0,0,0,0.00872323552735924,0,0
"S035",0.0580246376180734,0,0,0,0.688460366517216,0,0,0,0.0471858268402037,0.0790493187655073,0.0358681930962434,0,0,0,0.047577591085187,0.010229399730118,0,0,0,0,0.0169764506159405,0,0,0,0
"S036",0.74821199339813,0,0,0,0.0395195305336512,0,0,0,0.0579497524298551,0.0311296534017972,0.0521731157161196,0,0,0,0.0183385292499542,0.0338804327892903,0,0,0,0,0,0.00742710434623143,0,0,0
"S037",0.827872290841296,0.00517361920298299,0,0,0.0180377534374272,0,0,0,0.0366814262409695,0.0168725238872058,0.0312747611279422,0,0,0,0.00946166394779772,0.0288044744814729,0,0,0,0,0,0.00783034257748776,0.00540666511302727,0,0
"S038",0,0.574283585122959,0,0,0,0,0,0,0,0,0,0,0.176817288801572,0.159880766885712,0,0,0,0.00562292527606531,0,0.053112932728135,0,0,0,0,0
"S039",0.00907886017229954,0.00642809807819748,0.914645460569914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00662690523525514,0.00569913850231942
"S041",0,0,0,0.228571428571429,0,0.0714285714285714,0.328571428571429,0.342857142857143,0,0,0,0.0142857142857143,0,0,0,0,0.0142857142857143,0,0,0,0,0,0,0,0
"S042",0,0,0,0.196078431372549,0,0,0.42156862745098,0.343137254901961,0,0,0,0,0,0,0,0,0.0392156862745098,0,0,0,0,0,0,0,0
"S046",0,0,0,0.372549019607843,0,0.529411764705882,0,0,0,0,0,0.0980392156862745,0,0,0,0,0,0,0,0,0,0,0,0,0
