"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"OCI-004-R013",148038,147714,147675,146044,146044,146044,136056,0.919061322092976
"OCI-004-R014",139023,138779,138709,137709,137709,137709,135185,0.972393057263906
"OCI-004-R015",175464,175121,175091,173253,173253,173253,162119,0.923944512834542
"OCI-004-R016",160892,160556,160459,158952,158952,158952,150381,0.934670462173383
"OCI-004-R017",149033,148683,148594,147632,147632,147632,141934,0.952366254453712
"OCI-004-R018",140289,140040,139955,137886,137886,137886,136159,0.970560770979906
"OCI-004-R019",132682,132472,132295,129993,129993,129993,125403,0.9451395064892
"OCI-004-R020",68008,67896,67804,65019,65019,65019,62500,0.919009528290789
"OCI-004-R021",87260,87127,86980,84950,84950,84950,82360,0.943845977538391
"OCI-004-R022",104069,103875,103637,99811,99811,99811,92927,0.892936417184752
"OCI-004-R024",87,87,87,87,87,87,87,1
