"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033","ASV00034","ASV00035","ASV00036","ASV00037","ASV00038","ASV00039","ASV00040","ASV00041","ASV00042","ASV00043","ASV00044","ASV00045","ASV00046","ASV00047","ASV00048","ASV00049","ASV00050","ASV00051","ASV00052","ASV00053","ASV00054","ASV00055","ASV00056","ASV00057","ASV00058","ASV00059","ASV00060","ASV00061","ASV00062","ASV00063","ASV00064","ASV00065","ASV00066","ASV00067","ASV00068","ASV00069","ASV00070","ASV00071","ASV00072","ASV00073","ASV00074","ASV00075","ASV00076","ASV00077","ASV00078","ASV00079","ASV00080","ASV00081","ASV00082","ASV00083","ASV00084","ASV00085","ASV00086","ASV00087","ASV00088","ASV00089","ASV00090","ASV00091","ASV00092","ASV00093","ASV00094","ASV00095","ASV00096","ASV00097","ASV00098","ASV00099","ASV00100","ASV00101","ASV00102","ASV00103","ASV00104","ASV00105","ASV00106","ASV00107"
"R001",393,37748,306,16,10704,15345,8712,700,4511,1559,3,1,639,534,675,0,152,0,0,1,0,55,23,8,4,0,0,0,0,36,0,24,0,0,12,23,32,0,62,26,0,0,0,0,0,0,0,0,19,0,0,0,0,43,16,4,3,12,0,24,3,0,0,8,0,16,20,0,1,11,2,0,15,5,5,7,20,0,0,0,5,1,0,3,0,0,4,0,18,0,0,4,0,3,2,1,2,0,0,0,0,6,5,1,0,0,0
"R002",226,509,76204,22,285,43,41,1888,7,1561,7,1,1087,1729,226,0,400,0,0,1,0,89,262,139,6,0,0,0,0,0,0,0,0,0,23,0,0,0,6,5,5,15,34,0,0,1,0,0,0,63,0,38,0,5,0,1,11,0,34,5,4,19,0,9,0,0,0,0,0,0,8,0,0,0,5,16,0,0,0,21,0,6,0,0,17,0,3,8,0,0,0,0,0,3,5,5,0,0,3,0,0,0,0,0,0,0,2
"R003",4,7152,63,25,46139,11025,9818,32,2177,195,3,1,666,98,18,0,4,0,0,1,0,39,4,8,5,0,0,0,0,5,0,3,0,0,8,4,11,0,10,7,0,0,0,0,3,0,0,0,48,0,0,0,0,28,4,2,1,14,0,4,2,0,0,2,0,28,9,0,0,4,2,0,20,5,2,0,5,0,0,0,3,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,10,0,1,2,0,0,0,0
"R004",13,60282,16,74,3008,9709,4680,16,3418,381,4,1,60,1,32,0,121,0,0,3,0,32,0,11,5,0,0,0,0,57,0,58,0,0,8,58,53,0,0,51,0,0,0,1,0,0,0,0,19,6,0,1,0,0,19,16,5,13,0,9,1,2,1,7,0,4,14,0,0,12,1,0,0,8,4,3,4,0,0,0,8,0,0,2,0,0,0,0,0,0,0,6,0,3,0,0,3,0,1,0,0,1,1,0,6,0,1
"R005",4,69180,246,13,527,3473,1399,993,1430,2351,6,0,86,84,1266,0,184,0,0,14,0,58,3,3,4,0,0,0,0,49,0,67,0,0,25,59,44,0,23,34,0,2,3,0,0,0,0,0,5,0,0,0,0,0,17,12,4,8,0,14,2,3,0,5,1,1,4,0,0,11,1,0,0,7,0,2,1,0,0,2,4,1,0,1,1,0,0,0,2,0,0,5,0,4,2,1,5,0,0,0,0,1,0,0,0,0,0
"R006",69,155,46522,15,26,1,30,11164,1,337,6475,5816,66,141,72,0,4,0,0,2,0,249,165,177,147,0,0,0,0,33,0,9,0,149,70,0,0,0,31,0,116,102,78,0,0,0,0,0,0,21,0,44,0,2,21,9,29,21,34,5,48,36,0,9,5,0,0,0,0,0,17,0,0,9,17,5,0,0,0,0,3,14,0,2,4,0,11,13,0,0,0,0,0,2,4,6,3,7,8,0,0,0,0,5,0,6,0
"R007",109,138,432,95568,40,10,8,9,3,205,62,70,27,1,1,0,172,0,0,697,0,13,0,16,170,2,0,0,215,0,0,1,159,0,1,0,0,0,0,0,0,0,1,113,100,99,100,95,0,0,87,0,82,0,0,30,16,0,0,0,0,0,57,11,45,0,0,42,40,0,7,38,0,0,1,0,0,27,27,1,0,1,23,14,0,22,1,0,0,20,19,0,17,0,2,0,0,6,0,0,0,0,0,2,2,0,0
"R008",143902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,12,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R009",123676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,961,27,0,608,0,0,0,0,0,13,220,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R010",134154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205,0,0,769,0,7,0,0,0,0,304,207,0,0,0,176,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
"R011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R012",6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
