"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","new_name"
"S032","NOV-001-S032","S032","Dc671F_PCR_nc02","Cetacea_eDNA","PCR_nc02","Dc671F_Dc1015R","nc","NC_PCR2"
"S033","NOV-001-S033","S033","Mu2084F_Ch01-02","Cetacea_eDNA","Ch01-02","Mu2084F_Dc2438R","sample","Lagoon_main"
"S034","NOV-001-S034","S034","Mu2084F_Ch03","Cetacea_eDNA","Ch03","Mu2084F_Dc2438R","sample","Lagoon_north"
"S035","NOV-001-S035","S035","Mu2084F_Ch04","Cetacea_eDNA","Ch04","Mu2084F_Dc2438R","sample","Lagoon_south"
"S036","NOV-001-S036","S036","Mu2084F_Ch05","Cetacea_eDNA","Ch05","Mu2084F_Dc2438R","sample","Reproduction_pool"
"S037","NOV-001-S037","S037","Mu2084F_Ch06-07","Cetacea_eDNA","Ch06-07","Mu2084F_Dc2438R","sample","Main_pool"
"S038","NOV-001-S038","S038","Mu2084F_Ch08","Cetacea_eDNA","Ch08","Mu2084F_Dc2438R","sample","Show_pool"
"S039","NOV-001-S039","S039","Mu2084F_Ch09","Cetacea_eDNA","Ch09","Mu2084F_Dc2438R","sample","MedicalTrt_pool"
"S040","NOV-001-S040","S040","Mu2084F_Ch10_nc","Cetacea_eDNA","Ch10_nc","Mu2084F_Dc2438R","nc","NC_ChField"
"S041","NOV-001-S041","S041","Mu2084F_OP01","Cetacea_eDNA","OP01","Mu2084F_Dc2438R","sample","SaiKung_Surface"
"S042","NOV-001-S042","S042","Mu2084F_OP02","Cetacea_eDNA","OP02","Mu2084F_Dc2438R","sample","SaiKung_Subsurface"
"S043","NOV-001-S043","S043","Mu2084F_OP03_nc","Cetacea_eDNA","OP03_nc","Mu2084F_Dc2438R","nc","NC_OPField"
"S044","NOV-001-S044","S044","Mu2084F_DNAex_nc01","Cetacea_eDNA","DNAex_nc01","Mu2084F_Dc2438R","nc","NC_DNAext1"
"S045","NOV-001-S045","S045","Mu2084F_DNAex_nc02","Cetacea_eDNA","DNAex_nc02","Mu2084F_Dc2438R","nc","NC_DNAext2"
"S046","NOV-001-S046","S046","Mu2084F_BT2","Cetacea_eDNA","BT2","Mu2084F_Dc2438R","sample","St_PM15"
"S047","NOV-001-S047","S047","Mu2084F_PCR_nc01","Cetacea_eDNA","PCR_nc01","Mu2084F_Dc2438R","nc","NC_PCR1"
"S048","NOV-001-S048","S048","Mu2084F_PCR_nc02","Cetacea_eDNA","PCR_nc02","Mu2084F_Dc2438R","nc","NC_PCR2"
"S049","NOV-001-S049","S049","Mu9459F_Ch01-02","Cetacea_eDNA","Ch01-02","Mu9459F_Mu9822R","sample","Lagoon_main"
"S050","NOV-001-S050","S050","Mu9459F_Ch03","Cetacea_eDNA","Ch03","Mu9459F_Mu9822R","sample","Lagoon_north"
"S051","NOV-001-S051","S051","Mu9459F_Ch04","Cetacea_eDNA","Ch04","Mu9459F_Mu9822R","sample","Lagoon_south"
"S052","NOV-001-S052","S052","Mu9459F_Ch05","Cetacea_eDNA","Ch05","Mu9459F_Mu9822R","sample","Reproduction_pool"
"S053","NOV-001-S053","S053","Mu9459F_Ch06-07","Cetacea_eDNA","Ch06-07","Mu9459F_Mu9822R","sample","Main_pool"
"S054","NOV-001-S054","S054","Mu9459F_Ch08","Cetacea_eDNA","Ch08","Mu9459F_Mu9822R","sample","Show_pool"
"S055","NOV-001-S055","S055","Mu9459F_Ch09","Cetacea_eDNA","Ch09","Mu9459F_Mu9822R","sample","MedicalTrt_pool"
"S056","NOV-001-S056","S056","Mu9459F_Ch10_nc","Cetacea_eDNA","Ch10_nc","Mu9459F_Mu9822R","nc","NC_ChField"
