"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"S049",122330,112567,112435,112185,112185,112185,88810,0.725987084116733
"S050",133719,122539,122393,121724,121724,121724,114942,0.859578668700783
"S051",124696,113879,113769,113550,113550,113550,93461,0.749510810290627
"S052",111760,103190,103082,102779,102779,102779,81194,0.726503221188261
"S053",115662,106285,106215,105833,105833,105833,97547,0.843379848178313
"S054",118873,109137,109009,108144,108144,108144,102147,0.859295214220218
"S055",130689,119664,119597,119001,119001,119001,117057,0.895691297660859
"S056",75,70,70,69,69,69,67,0.893333333333333
