file                                             format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S033_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     37,728   9,431,948      221      250      250  250  250  250        0  250   97.29    92.2
S033_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     37,728   9,431,887      224      250      250  250  250  250        0  250   96.67   90.73
S034_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     38,025   9,506,197      225      250      250  250  250  250        0  250   97.15   91.94
S034_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     38,025   9,505,976      188      250      250  250  250  250        0  250   96.51   90.57
S035_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     37,859   9,464,651      207      250      250  250  250  250        0  250   97.17      92
S035_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     37,859   9,464,555      208      250      250  250  250  250        0  250   96.57   90.69
S036_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     36,273   9,068,231      240      250      250  250  250  250        0  250   97.41   92.42
S036_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     36,273   9,068,207      224      250      250  250  250  250        0  250   96.79   90.99
S037_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     37,722   9,430,439      201      250      250  250  250  250        0  250   97.24   92.12
S037_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     37,722   9,430,345      206      250      250  250  250  250        0  250   96.55   90.46
S038_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     35,706   8,926,411      205      250      250  250  250  250        0  250   97.22   92.05
S038_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     35,706   8,926,259      139      250      250  250  250  250        0  250   96.52   90.52
S039_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     37,693   9,423,206      228      250      250  250  250  250        0  250   97.31   92.34
S039_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     37,693   9,423,119      222      250      250  250  250  250        0  250   96.74   91.03
S040_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA        214      53,500      250      250      250  125  250  125        0  250   97.51   92.68
S040_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA        214      53,500      250      250      250  125  250  125        0  250   97.01   91.41
S041_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA         33       8,250      250      250      250  125  250  125        0  250   97.09   92.41
S041_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA         33       8,250      250      250      250  125  250  125        0  250   96.22    91.1
S042_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     55,515  13,878,527      180      250      250  250  250  250        0  250   97.09   91.92
S042_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     55,515  13,878,240      176      250      250  250  250  250        0  250   96.24   89.93
S043_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA         89      22,250      250      250      250  125  250  125        0  250    98.4   94.76
S043_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA         89      22,250      250      250      250  125  250  125        0  250   97.84   93.07
S045_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA      1,221     305,250      250      250      250  125  250  125        0  250   97.76   93.38
S045_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA      1,221     305,250      250      250      250  125  250  125        0  250   96.78    90.9
S046_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA     52,133  13,033,004      181      250      250  250  250  250        0  250   97.33   92.43
S046_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA     52,133  13,033,005      185      250      250  250  250  250        0  250   96.64   90.69
S047_FKDL240081149-1A_H7TF5DRX5_flt_R1.fastq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250    99.4    97.4
S047_FKDL240081149-1A_H7TF5DRX5_flt_R2.fastq.gz  FASTQ   DNA          2         500      250      250      250  125  250  125        0  250      99    96.6
