file                                        format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S049_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     42,687  10,671,750      250      250      250  125  250  125        0  250   96.86    90.9
S050_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     46,705  11,676,250      250      250      250  125  250  125        0  250   96.81   91.12
S051_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     43,236  10,809,000      250      250      250  125  250  125        0  250   96.59   90.58
S052_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     38,806   9,701,500      250      250      250  125  250  125        0  250   96.94   91.03
S053_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     40,569  10,142,250      250      250      250  125  250  125        0  250   96.88   91.02
S054_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     41,256  10,314,000      250      250      250  125  250  125        0  250   96.87   91.15
S055_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA     45,561  11,390,250      250      250      250  125  250  125        0  250   96.68   90.51
S056_FKDL240081149-1A_H7H7NDRX5_L1_1.fq.gz  FASTQ   DNA         30       7,500      250      250      250  125  250  125        0  250   97.05   90.99
