file                                             format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
S049_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     42,503  10,625,739      239      250      250  250  250  250        0  250   96.92   90.97
S049_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     42,503  10,625,750      250      250      250  125  250  125        0  250   97.52   92.23
S050_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     46,509  11,627,201      232      250      250  250  250  250        0  250   96.87   91.19
S050_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     46,509  11,626,950      138      250      250  250  250  250        0  250   97.48   92.34
S051_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     43,022  10,755,477      238      250      250  250  250  250        0  250   96.66   90.66
S051_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     43,022  10,755,470      220      250      250  250  250  250        0  250    97.4    92.3
S052_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     38,632   9,658,000      250      250      250  125  250  125        0  250      97    91.1
S052_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     38,632   9,658,000      250      250      250  125  250  125        0  250   97.43   91.87
S053_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     40,375  10,093,750      250      250      250  125  250  125        0  250   96.93   91.09
S053_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     40,375  10,093,587      183      250      250  250  250  250        0  250   97.28   91.53
S054_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     41,039  10,259,750      250      250      250  125  250  125        0  250   96.93   91.22
S054_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     41,039  10,259,750      250      250      250  125  250  125        0  250   97.53   92.33
S055_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA     45,372  11,342,989      239      250      250  250  250  250        0  250   96.73   90.58
S055_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA     45,372  11,342,911      181      250      250  250  250  250        0  250   97.48   92.25
S056_FKDL240081149-1A_H7H7NDRX5_flt_R1.fastq.gz  FASTQ   DNA         30       7,500      250      250      250  125  250  125        0  250   97.05   90.99
S056_FKDL240081149-1A_H7H7NDRX5_flt_R2.fastq.gz  FASTQ   DNA         30       7,500      250      250      250  125  250  125        0  250   97.07   91.56
