"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013"
"S049",0.501029947710347,0,0.323878941530661,0,0,0,0.0156868958960545,0.149421644747267,0,0,0,0,0
"S050",0.0916370106761566,0,0.0943060498220641,0.71797153024911,0,0,0.0186832740213523,0.00711743772241993,0.0151245551601423,0.0195729537366548,0.0097864768683274,0,0.0151245551601423
"S051",0.115563559957977,0,0.759267597178448,0,0,0,0.121266696683176,0,0,0,0,0,0
"S052",0.965033112582781,0,0,0,0,0,0,0,0,0,0,0.026887417218543,0
"S053",0.939561707035755,0,0,0,0,0,0.0501730103806228,0,0,0,0,0,0
"S054",0,0,0,0.0698757763975155,0.598136645962733,0.312422360248447,0,0,0,0,0,0,0
"S055",0,0.970517928286853,0,0,0.00637450199203187,0,0,0,0,0,0,0,0
