"","OTU00001","OTU00002","OTU00003","OTU00004","OTU00005","OTU00006","OTU00007","OTU00008","OTU00009","OTU00010","OTU00011","OTU00012","OTU00013","OTU00014","OTU00015","OTU00016","OTU00017","OTU00018","OTU00019","OTU00020","OTU00021","OTU00022","OTU00023","OTU00024","OTU00025","OTU00026"
"S049",44762,0,43205,190,0,168,71,108,153,12,57,28,13,6,0,12,2,8,5,6,0,0,0,2,1,1
"S050",10134,1,13985,82800,0,1744,2211,1199,1529,579,647,0,0,96,0,10,5,0,1,1,0,0,0,0,0,0
"S051",10948,0,82118,4,0,58,78,41,102,20,32,26,0,6,0,10,0,9,3,6,0,0,0,0,0,0
"S052",78353,0,2205,0,5,100,110,99,102,30,9,55,15,17,0,38,11,13,16,2,8,3,0,3,0,0
"S053",91724,10,4845,295,35,82,123,63,130,51,17,50,15,16,0,47,17,12,10,2,0,0,3,0,0,0
"S054",39,0,122,38743,61354,478,80,285,337,135,156,13,232,69,102,0,0,0,2,0,0,0,0,0,0,0
"S055",209,113943,92,405,747,502,200,445,40,87,0,340,0,28,0,2,0,0,17,0,0,0,0,0,0,0
"S056",0,65,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
