"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"T001",1960321,1823107,1822575,1799820,1799820,1799820,1799357,0.917888957981882
"T002",1567847,1465421,1465063,1446868,1446868,1446868,1446733,0.92275139092016
"T004",1,1,1,1,1,1,1,1
"T005",1,1,1,1,1,1,1,1
