"","Sample_ID","Sample_Name2","Description","Sample_Project","Description2","Primer","sample_nc","rarefied","original_reads","original_n_taxa","original_coverage","rarefied_reads","rarefied_n_taxa","rarefied_pred_n_taxa","rarefied_coverage","correct_singletons","new_name"
"S054","NOV-001-S054","S054","Mu9459F_Ch08","Cetacea_eDNA","Ch08","Mu9459F_Mu9822R","sample",TRUE,102147,27,0.999960840940798,3220,17,15.8362390061183,0.999000025905921,FALSE,"Show_pool"
"S055","NOV-001-S055","S055","Mu9459F_Ch09","Cetacea_eDNA","Ch09","Mu9459F_Mu9822R","sample",TRUE,117057,26,0.999982914598624,3765,19,17.0156579150405,0.999000140042106,FALSE,"MedicalTrt_pool"
"R001","OCI-004-R001","R001","MiMam_Ch01-02","Cetacea_eDNA","Ch01-02","MiMammalF-R","sample",TRUE,82593,60,0.999927355497989,10949,42,42.1667995857088,0.999000020089052,FALSE,"Lagoon_main"
"R002","OCI-004-R002","R002","MiMam_Ch03","Cetacea_eDNA","Ch03","MiMammalF-R","sample",TRUE,85113,51,0.99995300393005,9667,38,35.6428098621328,0.999000021831876,FALSE,"Lagoon_north"
"R003","OCI-004-R003","R003","MiMam_Ch04","Cetacea_eDNA","Ch04","MiMammalF-R","sample",TRUE,77730,54,0.999922812374068,11743,37,33.4182327839524,0.998999981513207,FALSE,"Lagoon_south"
"R004","OCI-004-R004","R004","MiMam_Ch05","Cetacea_eDNA","Ch05","MiMammalF-R","sample",TRUE,82334,57,0.999866398433004,11251,37,36.246340836106,0.999000004514765,FALSE,"Reproduction_pool"
"R005","OCI-004-R005","R005","MiMam_Ch06-07","Cetacea_eDNA","Ch06-07","MiMammalF-R","sample",TRUE,81757,58,0.999889919478159,10585,31,35.3551569652526,0.998999983386574,FALSE,"Main_pool"
"R006","OCI-004-R006","R006","MiMam_Ch08","Cetacea_eDNA","Ch08","MiMammalF-R","sample",TRUE,72642,60,0.99997246923439,9964,49,46.9346328782024,0.999000051561008,FALSE,"Show_pool"
"R007","OCI-004-R007","R007","MiMam_Ch09","Cetacea_eDNA","Ch09","MiMammalF-R","sample",TRUE,99277,58,0.999909345372873,8313,43,40.253995648581,0.998999924924283,FALSE,"MedicalTrt_pool"
"R013","OCI-004-R013","R013","Ceto2_Ch01-02","Cetacea_eDNA","Ch01-02","Ceto2F-R","sample",TRUE,136056,137,0.999720705724816,33308,84,83.4849645883712,0.998999991865,FALSE,"Lagoon_main"
"R014","OCI-004-R014","R014","Ceto2_Ch03","Cetacea_eDNA","Ch03","Ceto2F-R","sample",TRUE,135185,214,0.999644934960251,54773,170,166.184042333442,0.999000008733914,FALSE,"Lagoon_north"
"R015","OCI-004-R015","R015","Ceto2_Ch04","Cetacea_eDNA","Ch04","Ceto2F-R","sample",TRUE,162119,84,0.999845793201534,10680,32,34.3410915956506,0.998999990111659,FALSE,"Lagoon_south"
"R016","OCI-004-R016","R016","Ceto2_Ch05","Cetacea_eDNA","Ch05","Ceto2F-R","sample",TRUE,150381,182,0.999601015194683,44197,115,118.648463309287,0.999000005331098,FALSE,"Reproduction_pool"
"R017","OCI-004-R017","R017","Ceto2_Ch06-07","Cetacea_eDNA","Ch06-07","Ceto2F-R","sample",TRUE,141934,163,0.999570223871675,41343,98,103.171709728969,0.998999997593933,FALSE,"Main_pool"
"R018","OCI-004-R018","R018","Ceto2_Ch08","Cetacea_eDNA","Ch08","Ceto2F-R","sample",TRUE,136159,233,0.999662162917327,53458,194,185.581711173268,0.99899999065835,FALSE,"Show_pool"
"R019","OCI-004-R019","R019","Ceto2_Ch09","Cetacea_eDNA","Ch09","Ceto2F-R","sample",TRUE,125403,284,0.999521547506784,67890,262,244.427571855295,0.99900000757084,FALSE,"MedicalTrt_pool"
