"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop.last.first."
"S001",133061,124759,124563,122664,122664,122664,63137,0.474496659426879
"S002",141698,131863,131746,130839,130839,130839,122321,0.86325142203842
"S003",114872,107192,107113,106255,106255,106255,63521,0.552972003621422
"S004",121444,114090,113989,112749,112749,112749,76725,0.631772668884424
"S005",115945,108286,108140,106782,106782,106782,83059,0.716365518133598
"S006",135499,126701,126462,124402,124402,124402,98223,0.724898338733127
"S007",133376,124173,124016,123021,123021,123021,120475,0.903273452495202
"S008",708,670,670,666,666,666,617,0.871468926553672
"S013",2,2,2,2,2,2,2,1
"S014",814,756,756,756,756,756,756,0.928746928746929
