"","P1_ASV00001","P1_ASV00002","P1_ASV00003","P1_ASV00004","P1_ASV00005","P1_ASV00006","P1_ASV00007","P1_ASV00008","P1_ASV00009","P1_ASV00010","P1_ASV00011","P1_ASV00012","P1_ASV00013","P1_ASV00015","P1_ASV00019","P2_ASV00001","P2_ASV00002","P2_ASV00003","P2_ASV00004","P2_ASV00005","P2_ASV00006","P2_ASV00008","P2_ASV00009","P2_ASV00010","P2_ASV00011","P2_ASV00013","P2_ASV00014","P2_ASV00015","P2_ASV00018","P3_ASV00001","P3_ASV00002","P3_ASV00003","P3_ASV00005","P3_ASV00009","P3_ASV00010","P3_ASV00011","P3_ASV00013","P3_ASV00014","P3_ASV00015","P3_ASV00016","P3_ASV00018","P3_ASV00019","P3_ASV00020","P3_ASV00021","P3_ASV00022","P3_ASV00023","P3_ASV00024","P3_ASV00025","P4_ASV00001","P4_ASV00002","P4_ASV00003","P4_ASV00004","P4_ASV00005","P4_ASV00006","P4_ASV00007","P4_ASV00008","P4_ASV00009","P4_ASV00010","P4_ASV00011","P4_ASV00012","P4_ASV00013","P5_ASV00002","P5_ASV00003","P5_ASV00004","P5_ASV00005","P5_ASV00006","P5_ASV00007","P5_ASV00008","P5_ASV00009","P5_ASV00010","P5_ASV00011","P5_ASV00012","P5_ASV00013","P5_ASV00014","P5_ASV00015","P5_ASV00020","P6_ASV00001","P6_ASV00002","P6_ASV00003","P6_ASV00004","P6_ASV00027","P6_ASV00037","P6_ASV00041"
"S020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.872650428205984,0,0,0,0.127349571794016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875326270535851,0.0426838630431445,0.00829111008751727,0.00844464916321204,0.0652541071702748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.720026350461133,0,0,0,0.238142292490119,0.0242094861660079,0,0.00576416337285903,0,0.00592885375494071,0,0.00592885375494071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00552845528455285,0.969430894308943,0,0,0.00747967479674797,0,0,0,0.00585365853658537,0,0.00650406504065041,0,0.00520325203252033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.324027005559968,0.00559968228752979,0,0.257227958697379,0.101826846703733,0.0939237490071485,0.0849086576648134,0,0,0.053097696584591,0.0382446386020651,0.009054805401112,0.0110007942811755,0,0.0117950754567117,0.00929308975377284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S034",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00578415580612096,0.905623078049495,0,0.00981109972177479,0,0,0,0,0.00680919607556011,0,0,0.033533460243081,0.02957973348953,0,0,0,0.00885927661443843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590057987694214,0,0,0.700101810455491,0.0479837103271214,0.0803859944225576,0.0364747023150812,0,0,0.0483820990659997,0.0104023726262671,0,0,0,0.0172635120180603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756816917084029,0,0,0.0399740307920608,0.0586162122055277,0.0314876646262289,0.0527731404192172,0,0,0.0185494342422556,0.0342700797625672,0,0,0,0,0.00751252086811352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83842341279207,0.00523955628982771,0,0.0182676421996696,0.0371489261269766,0.0170875619542129,0.0316733537880576,0,0,0.00958225159310833,0.0291715836676894,0,0,0,0,0.00793013924946896,0.00547557233891905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592217409529132,0,0,0,0,0,0.182338968841693,0.164873550370267,0,0,0.00579851893251362,0,0.0547715523263937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
