"","ASV00001","ASV00002","ASV00003","ASV00004","ASV00005","ASV00006","ASV00007","ASV00008","ASV00009","ASV00010","ASV00011","ASV00012","ASV00013","ASV00014","ASV00015","ASV00016","ASV00017","ASV00018","ASV00019","ASV00020","ASV00021","ASV00022","ASV00023","ASV00024","ASV00025","ASV00026","ASV00027","ASV00028","ASV00029","ASV00030","ASV00031","ASV00032","ASV00033"
"T001",401393,15886,270,295,222,211,192,188,174,164,191,168,165,157,155,156,140,141,127,113,108,84,89,109,84,100,87,70,56,52,65,38,18
"T002",393954,0,281,255,244,223,173,176,175,175,146,165,156,157,153,142,125,113,103,101,105,107,94,70,94,77,61,66,80,72,56,80,14
